bar_index,300348.SZ,300735.SZ,688213.SH,001696.SZ,301363.SZ,301262.SZ,301348.SZ,300002.SZ,688630.SH,688088.SH,688400.SH,300723.SZ,300366.SZ,688766.SH,603103.SH,002920.SZ,603728.SH,300260.SZ,300693.SZ,688091.SH
281,600.000000,18300.000000,400.000000,31400.000000,300.000000,100.000000,8800.000000,28400.000000,4600.000000,1412.000000,0.000000,4000.000000,1800.000000,,3400.000000,4500.000000,200.000000,2800.000000,3200.000000,0.000000
282,4000.000000,50100.000000,571.000000,36700.000000,1400.000000,1700.000000,5100.000000,170700.000000,200.000000,937.000000,441.000000,0.000000,16700.000000,,7200.000000,2000.000000,2600.000000,3400.000000,3800.000000,0.000000
283,2000.000000,25600.000000,730.000000,26400.000000,1000.000000,2300.000000,5400.000000,60400.000000,400.000000,2972.000000,0.000000,100.000000,10300.000000,,2400.000000,600.000000,1800.000000,7500.000000,2200.000000,466.000000
284,600.000000,29500.000000,800.000000,18200.000000,2400.000000,800.000000,5400.000000,99800.000000,400.000000,1486.000000,0.000000,600.000000,800.000000,,100.000000,12900.000000,1600.000000,12500.000000,900.000000,0.000000
285,8700.000000,49500.000000,1873.000000,12500.000000,600.000000,5000.000000,11200.000000,67800.000000,244.000000,500.000000,0.000000,100.000000,700.000000,,2300.000000,9500.000000,400.000000,4700.000000,2200.000000,200.000000
286,1500.000000,41600.000000,800.000000,38900.000000,200.000000,1200.000000,8200.000000,306100.000000,204.000000,2550.000000,400.000000,0.000000,7800.000000,,2600.000000,8300.000000,3300.000000,4800.000000,3300.000000,3150.000000
287,18100.000000,30600.000000,3759.000000,12800.000000,400.000000,1200.000000,3900.000000,130900.000000,0.000000,2200.000000,6113.000000,0.000000,3300.000000,,300.000000,12400.000000,300.000000,3500.000000,8500.000000,200.000000
288,2600.000000,55900.000000,3235.000000,52800.000000,2500.000000,2100.000000,200.000000,168900.000000,0.000000,2531.000000,4068.000000,2900.000000,400.000000,,3100.000000,18100.000000,5600.000000,3200.000000,1400.000000,792.000000
289,3900.000000,44800.000000,1313.000000,30000.000000,500.000000,2200.000000,2200.000000,91500.000000,552.000000,1068.000000,916.000000,300.000000,2000.000000,,2400.000000,16400.000000,1500.000000,4900.000000,13200.000000,432.000000
290,4800.000000,37400.000000,1088.000000,18500.000000,0.000000,3100.000000,700.000000,62800.000000,0.000000,1043.000000,,500.000000,0.000000,,700.000000,7400.000000,500.000000,12100.000000,0.000000,0.000000
291,4100.000000,72900.000000,376.000000,65400.000000,300.000000,600.000000,200.000000,86600.000000,18475.000000,2734.000000,1471.000000,0.000000,9100.000000,,2600.000000,4900.000000,1600.000000,3900.000000,32500.000000,0.000000
292,7200.000000,74400.000000,860.000000,47500.000000,5000.000000,1900.000000,3900.000000,96800.000000,600.000000,5121.000000,1100.000000,700.000000,12600.000000,,400.000000,3200.000000,3600.000000,8700.000000,7800.000000,600.000000
293,15700.000000,12100.000000,200.000000,28800.000000,400.000000,6000.000000,5800.000000,34900.000000,0.000000,3901.000000,200.000000,200.000000,6100.000000,,1500.000000,4900.000000,200.000000,2300.000000,3300.000000,428.000000
294,0.000000,12300.000000,596.000000,28600.000000,,7900.000000,3100.000000,130200.000000,200.000000,0.000000,3171.000000,0.000000,2700.000000,,0.000000,800.000000,2500.000000,4100.000000,200.000000,1438.000000
295,700.000000,13100.000000,1300.000000,10300.000000,100.000000,300.000000,1400.000000,34300.000000,0.000000,1551.000000,200.000000,300.000000,500.000000,,0.000000,3000.000000,1800.000000,4000.000000,1000.000000,400.000000
296,1100.000000,24200.000000,6887.000000,39300.000000,4900.000000,3500.000000,3400.000000,55600.000000,0.000000,2401.000000,0.000000,5600.000000,1200.000000,,500.000000,4000.000000,500.000000,5200.000000,500.000000,658.000000
297,1000.000000,15600.000000,1785.000000,38700.000000,,300.000000,400.000000,57400.000000,600.000000,1200.000000,129.000000,300.000000,1100.000000,,0.000000,5600.000000,1000.000000,1400.000000,200.000000,200.000000
298,1200.000000,8300.000000,2865.000000,34100.000000,100.000000,500.000000,3600.000000,37300.000000,1000.000000,1424.000000,0.000000,0.000000,0.000000,,200.000000,3800.000000,2800.000000,3900.000000,2100.000000,275.000000
299,4800.000000,22400.000000,1000.000000,115900.000000,300.000000,5200.000000,25200.000000,25800.000000,400.000000,5384.000000,700.000000,15400.000000,17800.000000,,1600.000000,4900.000000,8600.000000,7500.000000,2700.000000,800.000000
300,12700.000000,28600.000000,1250.000000,33500.000000,5100.000000,1800.000000,3600.000000,158200.000000,2100.000000,1716.000000,200.000000,800.000000,10700.000000,,600.000000,7800.000000,1100.000000,17200.000000,21000.000000,2660.000000
301,1000.000000,49500.000000,0.000000,13500.000000,100.000000,900.000000,1500.000000,36400.000000,240.000000,1160.000000,1000.000000,600.000000,5300.000000,,0.000000,8000.000000,100.000000,8500.000000,4200.000000,10187.000000
302,200.000000,4400.000000,200.000000,24000.000000,700.000000,300.000000,2000.000000,11700.000000,82.000000,0.000000,2762.000000,0.000000,1300.000000,,200.000000,5100.000000,600.000000,3900.000000,300.000000,792.000000
303,400.000000,3100.000000,400.000000,28700.000000,700.000000,300.000000,4300.000000,26400.000000,0.000000,8876.000000,1071.000000,8000.000000,7400.000000,,0.000000,2800.000000,300.000000,8000.000000,1800.000000,238.000000
304,17900.000000,22900.000000,0.000000,32600.000000,1000.000000,600.000000,2900.000000,198700.000000,200.000000,7252.000000,0.000000,4400.000000,2500.000000,,13600.000000,800.000000,1100.000000,9400.000000,0.000000,802.000000
305,28300.000000,12300.000000,2300.000000,10200.000000,2400.000000,800.000000,2400.000000,548400.000000,,584.000000,2265.000000,3400.000000,6900.000000,,5600.000000,2900.000000,11000.000000,9800.000000,2800.000000,1440.000000
